Author,Collaboration Count,Publication Count,Tenure of Research,Degree Centrality,Cluster,Label,Predicted Label
Josef Weidendorfer,3.0,1.0,0.0,0.02112676056338028,2.0,ECR,ECR
Michael Ott,3.0,1.0,0.0,0.02112676056338028,2.0,ECR,ECR
Tobias Klug,3.0,1.0,0.0,0.02112676056338028,2.0,ECR,ECR
Carsten Trinitis,3.0,1.0,0.0,0.02112676056338028,2.0,ECR,ECR
Ruibin Bai,1.0,1.0,0.0,0.006944444444444444,0.0,ECR,ECR
Graham Kendall,1.0,1.0,0.0,0.006944444444444444,0.0,ECR,ECR
Hsieh S. Hou,0.0,1.0,0.0,0.0,0.0,ECR,ECR
A. Bogliolo,1.0,1.0,0.0,0.006802721088435374,0.0,ECR,ECR
M. Damiani,1.0,1.0,0.0,0.006802721088435374,0.0,ECR,ECR
Zhanhua Bai,1.0,1.0,0.0,0.006711409395973154,0.0,ECR,ECR
Qiang Lv,1.0,1.0,0.0,0.006711409395973154,0.0,ECR,ECR
Takaaki Kamogawa,1.0,1.0,0.0,0.006622516556291391,0.0,ECR,ECR
Hitoshi Okada,1.0,1.0,0.0,0.006622516556291391,0.0,ECR,ECR
Wallace M. Bessa,2.0,1.0,0.0,0.012987012987012988,2.0,ECR,ECR
Max S. Dutra,2.0,1.0,0.0,0.012987012987012988,2.0,ECR,ECR
Edwin Kreuzer,2.0,1.0,0.0,0.012987012987012988,2.0,ECR,ECR
Nico H. Lassing,2.0,1.0,0.0,0.012738853503184714,2.0,ECR,ECR
Daan B. B. Rijsenbrij,2.0,1.0,0.0,0.012738853503184714,2.0,ECR,ECR
Johannes C. van Vliet,2.0,1.0,0.0,0.012738853503184714,2.0,ECR,ECR
Seiki Inoue,3.0,1.0,0.0,0.018633540372670808,2.0,ECR,ECR
Michitoshi Ishiwaka,3.0,1.0,0.0,0.018633540372670808,2.0,ECR,ECR
Shoji Tanaka,3.0,1.0,0.0,0.018633540372670808,2.0,ECR,ECR
Jong-Il Park,3.0,1.0,0.0,0.018633540372670808,2.0,ECR,ECR
Ralf Dörner,1.0,1.0,0.0,0.006134969325153374,0.0,ECR,ECR
Paul Grimm,1.0,1.0,0.0,0.006134969325153374,0.0,ECR,ECR
Gábor Horváth,1.0,1.0,0.0,0.006060606060606061,0.0,ECR,ECR
Miklós Telek,1.0,1.0,0.0,0.006060606060606061,0.0,ECR,ECR
Sarthak Saxena,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Gunnar Tufte,1.0,1.0,0.0,0.005952380952380952,0.0,ECR,ECR
Pauline C. Haddow,1.0,1.0,0.0,0.005952380952380952,0.0,ECR,ECR
Li Ma,3.0,1.0,0.0,0.01744186046511628,2.0,ECR,ECR
Shilong Ma,3.0,1.0,0.0,0.01744186046511628,2.0,ECR,ECR
Jianghua Lv,3.0,1.0,0.0,0.01744186046511628,2.0,ECR,ECR
Yuefei Sui,3.0,1.0,0.0,0.01744186046511628,2.0,ECR,ECR
Hichem Sahli,1.0,1.0,0.0,0.005747126436781609,0.0,ECR,ECR
Musa Alrefaya,1.0,1.0,0.0,0.005747126436781609,0.0,ECR,ECR
P. R. Popivanov,1.0,1.0,0.0,0.005681818181818182,0.0,ECR,ECR
D. K. Palagachev,1.0,1.0,0.0,0.005681818181818182,0.0,ECR,ECR
Youssef Hanna,2.0,1.0,0.0,0.0111731843575419,2.0,ECR,ECR
Samik Basu,2.0,1.0,0.0,0.0111731843575419,2.0,ECR,ECR
Hridesh Rajan,2.0,1.0,0.0,0.0111731843575419,2.0,ECR,ECR
Arno Kuijlaars,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Kian Hsiang Low,2.0,1.0,0.0,0.01092896174863388,2.0,ECR,ECR
W. K. Leow,2.0,1.0,0.0,0.01092896174863388,2.0,ECR,ECR
M. H. Ang,2.0,1.0,0.0,0.01092896174863388,2.0,ECR,ECR
Go Irie,4.0,1.0,0.0,0.02127659574468085,2.0,ECR,ECR
Kota Hidaka,4.0,1.0,0.0,0.02127659574468085,2.0,ECR,ECR
Takashi Satou,4.0,1.0,0.0,0.02127659574468085,2.0,ECR,ECR
Toshihiko Yamasaki,4.0,1.0,0.0,0.02127659574468085,2.0,ECR,ECR
Kiyoharu Aizawa,4.0,1.0,0.0,0.02127659574468085,2.0,ECR,ECR
Jose Capmany,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Emerson Murphy-Hill,1.0,1.0,0.0,0.005263157894736842,2.0,ECR,ECR
